Neighborhood,Acres,Canopy Acres,Canopy%,Impervious Acres,Grass/Low Veg. Acres,Bare Soil Acres,Water Acres,Preferred Plantable Acres,Potential UTC
Airport,851.97,96.55,11.33,290.73,138.27,326.41,0,21.45,13.85
Alhambra Triangle,88.92,14.31,16.1,64.86,4.04,5.71,0,9.74,27.06
Alkali Flat,89.25,27.77,31.11,49.66,7.71,4.11,0,11.8,44.33
American River Parkway,1041.94,362.76,34.82,96.3,387,30.6,165.28,335.31,67
Arden Fair,78.45,4.95,6.3,71.13,1.78,0.6,0,2.38,9.33
Avondale,307.59,43.89,14.27,146.94,96.58,20.19,0,104.64,48.29
Belvedere,315.25,10.17,3.23,236.33,15.43,53.31,0,68.75,25.03
Ben Ali,242.87,40.11,16.52,151.58,38.4,12.78,0,50.12,37.15
Boulevard Park,154.68,68.34,44.18,72.86,13.07,0.41,0,13.35,52.81
Brentwood,201.29,29.19,14.5,128.09,29.25,14.75,0,37.19,32.98
Cal Expo,846.21,168.71,19.94,226.27,291.19,80.95,79.09,212.18,45.01
Campus Commons,404.83,177.69,43.89,159.22,53.93,9.99,4.01,40.63,53.93
Cannon Industrial Park,195.24,15.93,8.16,128.39,22.54,28.38,0,50.57,34.06
Carleton Tract,120.18,24.37,20.28,77.23,17.22,1.36,0,18.58,35.74
Central Oak Park,396.9,126.69,31.92,202.32,58.8,9.1,0,60.78,47.23
College Town,200.43,48.65,24.27,95.97,22.09,10.69,23.03,29.8,39.14
College/Glen,964.87,232.26,24.07,550.42,153.53,28.59,0.08,136.24,38.19
Colonial Heights,178.45,61.46,34.44,90.12,24.99,1.88,0,25.63,48.8
Colonial Manor,346.01,71.71,20.72,187.07,73.76,13.47,0,86.98,45.86
Colonial Village,214.21,45.77,21.37,124.16,43.96,0.33,0,43.45,41.65
Creekside,489.26,25.21,5.15,172.04,56.46,235.55,0,286.21,63.65
CSUS,402.11,104.7,26.04,207.74,62.85,11.76,15.07,46.4,37.58
Curtis Park,658.83,216.59,32.88,317.99,69.75,54.49,0,112.83,50
Del Paso Heights,407.48,64.67,15.87,200.49,108.71,33.61,0,112.88,43.57
Del Paso Park,820.42,235.57,28.71,170.26,303.1,109.86,1.63,85.91,39.19
Depot Park,496.67,21.03,4.23,306.33,37.8,128.67,2.84,151.65,34.77
Dos Rios Triangle,52.12,8.57,16.44,30.86,12.47,0.21,0,12.69,40.78
Downtown,530.44,123.4,23.26,355.21,48.32,3.5,0,49.84,32.66
East Del Paso Heights,550.07,117.24,21.31,266.24,116.55,50.03,0,160.62,50.51
East Sacramento,2148.8,710.91,33.08,1050.12,313.45,73.54,0.78,339.65,48.89
Elder Creek,146.33,4.78,3.27,125.82,6.39,8.76,0.58,15.15,13.62
Elmhurst,225.29,91.4,40.57,107.55,25.2,1.14,0,26.34,52.26
Erikson Industrial Park,270.15,13.8,5.11,213.22,18.74,24.39,0,39.61,19.77
Fairgrounds,151.58,32.1,21.18,87.25,23.63,8.6,0,20.47,34.69
Florin Fruitridge Industrial Park,757.71,42.63,5.63,544.08,37.69,130.19,3.12,167.87,27.78
Freeport Manor,177.27,25.76,14.53,119.56,24.46,7.49,0,27.92,30.28
Fruitridge Manor,453.19,71.28,15.73,268.26,91.16,22.49,0,76.04,32.51
Gardenland,389.13,82.09,21.1,162.41,118.81,25.81,0,141.61,57.49
Gateway Center,134.2,42.78,31.88,56.12,19.24,16.07,0,34.14,57.32
Gateway West,762.85,77,10.09,359.75,146.94,161.07,18.09,261.28,44.34
Glen Elder,269.58,44.19,16.39,128.58,92.16,4.03,0.62,84.72,47.82
Glenwood Meadows,343.5,53.62,15.61,179.78,85.49,24.6,0,110.09,47.66
Golf Course Terrace,388.42,89.96,23.16,209.94,83.88,4.63,0,79.21,43.55
Granite Regional Park,320.67,82.68,25.78,77.9,63.48,87.53,9.08,136.45,68.33
Greenbriar,640.58,2.84,0.44,25.99,1.69,608.02,2.03,609.72,95.63
Greenhaven,1014.76,213.79,21.07,529.37,165.9,9.95,95.74,149.89,35.84
Hagginwood,595.6,203.66,34.19,217.58,132.26,40.51,1.59,162.74,61.52
Hansen Park Golf Course Site,288.34,19.01,6.59,3.04,35.73,223.04,7.53,35.14,18.78
Heritage Park,294.92,46.38,15.73,166.23,34.21,44.12,3.97,78.34,42.29
Hollywood Park,268.1,66.05,24.64,148.09,50.49,3.47,0,46.47,41.97
Johnson Business Park,188.83,28.03,14.84,111.19,22.61,25.2,1.8,47.81,40.16
Johnson Heights,141.22,20.43,14.47,22.74,33.33,64.72,0,96.53,82.83
Land Park,1137.38,486.88,42.81,423.56,192.83,19.37,14.73,111.19,52.58
Lawrence Park,163.11,31.66,19.41,103.11,24.11,4.23,0,22.62,33.27
Little Pocket,273.85,89.84,32.81,95.18,40.14,3.77,44.92,40.04,47.43
Mangan Park,105.83,21.21,20.04,66.9,17.67,0.05,0,17.72,36.79
Mansion Flats,132.41,43.76,33.05,77.35,10.86,0.44,0,11.01,41.37
Marshall School,108.27,55.37,51.14,44.81,8.09,0,0,8.09,58.62
Meadowview,3495.54,432.87,12.38,1231.78,685.3,1124.48,21.11,1577.5,57.51
Med Center,230.19,51.26,22.27,145.65,27.94,5.35,0,24.39,32.87
Metro Center,185.46,63.35,34.16,86.54,19.37,15.33,0.87,25.24,47.77
Midtown / Winn Park / Capital Avenue,422.38,122.52,29.01,262.87,33.93,2.81,0.24,35.63,37.44
Morrison Creek,671.8,26.31,3.92,390.7,61.17,193.62,0,253.01,41.58
Natomas Corporate Center,160.77,65.04,40.45,64.04,31.45,0.24,0,28.96,58.47
Natomas Creek,312.92,23.73,7.58,161.74,34.08,93.38,0,126.9,48.14
Natomas Crossing,673.4,44.24,6.57,273.5,114.05,218.97,22.64,324.04,54.69
Natomas Park,1029.16,225.73,21.93,588.84,158.98,46.4,9.21,135.63,35.11
New Brighton,748.71,24.99,3.34,145.62,53.21,524.27,0.62,101.01,16.83
New Era Park,168.15,65.25,38.8,83.36,18.4,1.15,0,17.05,48.94
Newton Booth,234.68,64.34,27.42,147.66,17.36,5.31,0,22.41,36.96
